"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"victoria-vr","VR",2024-03-28,0.03,0.03,83067360.66,425,0,-0.73,0,-1.32,"PB2024","Under 100M"
"medibloc","MED",2021-12-20,0.05,0.06,301476499.6,420,0.2,21.1,0.18,3.1,"CW2020","Under 500M"
"uquid-coin","UQC",2023-04-11,4.53,4.51,45070838.46,546,0,1.14,0,0.65,"PB2024","Under 50M"
"agoras-tokens","AGRS",2021-12-06,0.84,0.86,15413190.34,522,0.02,11.16,0.02,2.68,"CW2020","Under 50M"
"mintlayer","ML",2024-03-24,0.42,0.43,27384719.73,844,0.02,64.86,0.02,4.18,"PB2024","Under 50M"
"fetch","FET",2023-11-04,0.36,0.36,293577999.4,52,0,0.41,0,0.45,"PB2024","Under 500M"
"mdex","MDX",2023-02-06,0.09,0.09,88114815.33,678,0,-0.97,0,-3.65,"PB2024","Under 100M"
"origin-protocol","OGN",2024-03-03,0.22,0.22,126142663.1,468,0,-0.37,0,-0.45,"PB2024","Under 500M"
"adx-net","ADX",2021-07-09,0.33,0.34,42202928.09,756,0.03,-0.77,0.03,-1.35,"BR2020","Under 50M"
"dynex","DNX",2023-01-06,0.04,0.07,0,638,0.75,-0.46,0.56,-0.62,"PB2024","Under 50M"
"quant","QNT",2022-09-18,109.67,103.89,1254195337,68,-0.05,169.08,-0.05,5.14,"CW2020","Under 10B"
"numeraire","NMR",2023-12-12,14.95,15.27,93562933.89,326,0.02,-0.47,0.02,-0.8,"PB2024","Under 100M"
"counterparty","XCP",2015-12-25,0.73,0.71,1857180.12,817,-0.03,-0.95,-0.03,-2.93,"PB2016","Under 50M"
